"","","","","","","","","",""
"TABLE 1","","","","","","","","",""
"","","","","","","","","",""
"","Passing
accuracy (%)","Passes attempted","Passes completed","Possession (%)","Crossing accuracy
(%)","Crosses
attempted","Crosses
completed","Free-kicks taken","Matches played"
"01 Germany","94","1416","1332","65,5","23.9","46","11","19","2"
"02 Italy","89.5","1267","1144","54.5","42.9","28","12","25","2"
"02 Croatia","89.5","1166","1049","57.5","31","42","13","30","2"
"02 France","89.5","1114","1006","53,5","20","35","7","34","2"
"02 Serbia","89.5","1050","936","51.5","18.9","53","10","22","2"
"02 Netherlands","89.5","977","877","53.5","35,7","28","10","20","2"
"07 O Portugal","89","1287","1145","62.5","23.4","47","11","25","2"
"07 England","89","1141","1014","53,5","35,7","14","5","36","2"
"07 Spain","89","1049","940","51.5","37","27","10","27","2"
"07 C* Türkiye","89","1013","905","48","28.9","38","11","20","2"
"11 Denmark","88","1215","1072","54","33.3","39","13","20","2"
"11 Ukraine","88","1024","904","56","8.3","36","3","21","2"
"13 Belgium","86.5","1016","877","55,5","25","24","6","23","2"
"","","","","","","","","",""
"","","","","","","","","",""
"TABLE 2","","","","","","","","",""
"","","","","","","","","",""
"13 Austria","86.5","939","814","53.5","23.9","46","11","25","2"
"15 Switzerland","85","874","743","53","20","25","5","23","2"
"16 Slovakia","84,5","911","782","49","22.9","35","8","33","2"
"17 Albania","84","682","576","36.5","29.4","17","5","23","2"
"18 Hungary","83.5","759","636","42","23.5","34","8","27","2"
"18 Georgia","83.5","751","633","46.5","20.6","34","7","29","2"
"20 Poland","81","667","542","39.5","24.3","33","8","25","2"
"21 Slovenia","79.5","678","539","41","25","32","8","18","2"
"21 Romania","79.5","609","487","39.5","18.2","22","4","22","2"
"23 Scotland","79","629","498","39,5","25.9","27","7","35","2"
"24 Czechia","78","769","623","43","17","53","9","21","2"
